breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
affenpinscher,small,7 - 10 lbs,"9.5"" - 11.5""",14 - 16 years,"Monkey Dog (Germany), Mustached Little Devil (France)",toy,Germany,Companion Dog,"The breed dates back to the 1600's in Germany where it was created to catch rodents in kitchens, stables and granaries","The Affenpinscher is an active, determined and fearless dog.",Patent ductus arteriosis; Legg-Perthes disease,medium,medium,TRUE,affenpinscher,TRUE,TRUE,affenpinscher
afghan hound,medium,50 - 60 lbs,"25"" -  27""",12 - 14 years,"Tazi, Baluchi Hound",hound,Ancient Afghanistan,"Companion Dog, Show Dog, Lure Coursing",Originally used by nomadic tribes for hunting gazelle and rabbits,"The Afghan Hound is a hunter at heart. Aloof, dignified and somewhat independent or clownish",Excellent health record. No known hereditary conditions.,high,high,TRUE,hound/afghan,TRUE,TRUE,afghan hound
american bulldog,large,60 - 120 lbs,"21"" - 27""",11 - 12 years,N/A,non-sporting,United States,"Companion Dog, Guard Dog","Originally used for bullbaiting, these dogs immigrated from England to the U.S. with their masters.","The American Bulldog is friendly, outgoing and alert.",Hip dysplasia; atopy; demodex mange,medium,medium,,,,,
appenzell mountain dog,medium,49 - 70 lbs,"18"" - 22"" ",13 - 15 years,"Appenzeller Sennenhund, Appenzell Cattle Dog",working,Switzerland,"Companion Dog, Herding","The rarest of four Swiss Hound breeds, the Appenzell may date back to the Bronze Age when it was a prized livestock herder and guard dog. This group was established as a breed in 1898.","The Appenzell Mountain Dog is lively, intelligent and brave.",Entropion,high,low,TRUE,appenzeller,TRUE,TRUE,appenzell mountain dog
armant,medium,50 - 65 lbs,"21"" - 23"" ",13 years,Egyptian Sheepdog Ermenti,herding,Egypt,"Companion Dog, Watchdog","A descendant of Napoleon's dogs and Briards, this breed was used as a herding dog.",These fearless dogs are excellent watchdogs. This breed is quite friendly and playful.,Excellent health record. No known hereditary conditions.,medium,high,,,,,
atlas dog,large,55 lbs,"21"" - 25""",N/A,"Aidi, Chien d'Atlas, Kabyle dog",terrier,Morocco,"Companion Dog, Guard Dog, Guide Dog","Originally used by ancient nomads in the Sahara desert as a flock guard for protection, this breed is not a sheepdog in the true sense.","The Atlas Dog is energetic, loyal, vigilant and sensitive.",Excellent health record. No known hereditary conditions.,high,low,,,,,
atlas terrier,small,13 - 15 lbs,"13"" -  15""",15 years,N/A,terrier,N/A,Companion Dog,An offahoot of the Jack Russell Terrier,"The Atlas Terrier is a fun-loving, playful, intelligent and devilish",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
austrlian shepherd,medium,35 - 75 lbs,"18"" - 23""",12 - 14 years,Aussie,herding,Australia,"Companion Dog, Herding, Show Dog",Originally bred by Australian shepherds to herd and guard their livestock.,"The Australian Shepherd is loyal, affectionate, smart, independent and reserved with strangers.",Eye anomaly; hip dysplasia; deafness; nasal solar dermatitis,high,medium,,,,,
austrain hound,medium,44 lbs,"19"" - 22"" ",N/A,Austrian Black and Tan Hound,hound,Austria,"Companion Dog, Hunting","Similar to Swiss Hounds, this breed is of Celtic origin and is a Hound known for hunting in the mountains.",The Austrian Hound is a good-natured game hunter.,Excellent health record. No known hereditary conditions.,medium,low,,,,,
ainu dog,medium,45 - 65 lbs,"18"" -  22""",15 years,"Hokkaido, Seta, Shita",working,Ancient Japan,"Companion Dog, Sled Dog, Guard Dog","Probably the oldest of the Japanese breeds, the Ainu Dog is known for being a big-game hunter and the village guardian. Designated as a Natural Monument in 1937.","Brave and loyal, the Ainu Dog is a good watchdog.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
