breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
affenpinscher,small,7 - 10 lbs,"9.5"" - 11.5""",14 - 16 years,"Monkey Dog (Germany), Mustached Little Devil (France)",toy,Germany,Companion Dog,"The breed dates back to the 1600's in Germany where it was created to catch rodents in kitchens, stables and granaries","The Affenpinscher is an active, determined and fearless dog.",Patent ductus arteriosis; Legg-Perthes disease,medium,medium,TRUE,affenpinscher,TRUE,TRUE,affenpinscher
afghan hound,medium,50 - 60 lbs,"25"" -  27""",12 - 14 years,"Tazi, Baluchi Hound",hound,Ancient Afghanistan,"Companion Dog, Show Dog, Lure Coursing",Originally used by nomadic tribes for hunting gazelle and rabbits,"The Afghan Hound is a hunter at heart. Aloof, dignified and somewhat independent or clownish",Excellent health record. No known hereditary conditions.,high,high,TRUE,hound/afghan,TRUE,TRUE,afghan hound
appenzell mountain dog,medium,49 - 70 lbs,"18"" - 22"" ",13 - 15 years,"Appenzeller Sennenhund, Appenzell Cattle Dog",working,Switzerland,"Companion Dog, Herding","The rarest of four Swiss Hound breeds, the Appenzell may date back to the Bronze Age when it was a prized livestock herder and guard dog. This group was established as a breed in 1898.","The Appenzell Mountain Dog is lively, intelligent and brave.",Entropion,high,low,TRUE,appenzeller,TRUE,TRUE,appenzell mountain dog
airedale terrier,medium,45 - 50 lbs,"22"" - 23""",12 - 14 years,"Waterside Terrier, Bingley Terrier",terrier,England,"Companion Dog, Guard Dog, Police Dog","Originated in 19th century Yorkshire, England, along the Aire River, when an Otter Hound was bred with a Black-and-Tan Terrier.","The Airedale Terrier is a bold, adventurous and playful breed.",Maligation tumors; CHD; hyperthyroidism; gastric torsion,high,low,TRUE,airedale,TRUE,FALSE,airedale terrier
akita,large,75 - 110 lbs,"24"" - 28""",10 - 12 years,"Akita Inu, Japanese Akita",working,Ancient Japan,Companion Dog,"Named for the Akita province of Japan where this dog was used for hunting over 5,000 years ago.","The Akita is a bold, independent and stubborn breed.",Hyperthyroidism; pemphigus foliaceous,medium,high,TRUE,akita,FALSE,FALSE,akita
alaskan malamute,large,75 - 85 lbs,"23"" - 25""",10 - 12 years,N/A,working,Alaska,"Companion Dog, Sled Dog",Used ,"The Alaskan Malamute is independent, strong-willed and fun-loving.",Hip dysplasia; dwarphism; hemolytic anemia; congenital kidney disorders,high,high,TRUE,malamute,FALSE,FALSE,alaskan malmute
basenji,small,21 - 24 lbs,"16"" - 17""",10 - 13 years,"Congo Dog, Congo Terrier",hound,Central Africa (Congo),"Companion Dog, Lure Coursing","Basenjis were originally used in Ancient Times as pack hunters. This ""barkless"" dog is said to ""yodel"" when happy and ""scream"" when upset.","An independent, ""cat-like"" breed that's friendly, feisty and strong-willed.",Pyruvate kinase deficiency; immunoproliferative enteropathy; persistent pupillary membrane; retinal atrophy,high,low,TRUE,basenji,TRUE,TRUE,basenji
basset hound,medium,40 - 60 lbs,"14""",10 - 12 years,N/A,hound,France,"Companion Dog, Hunting, Show Dog","A descendant of French scenthounds, this breed dates back to the 16th century when it was used as a pack hound to hunt small game.",Basset Hounds are a friendly and easy-going breed.,Prone to illness and require more veterinary care than most dogs. Patellar luxation; elbow dysplasia; ectropion/entropion; glaucoma; otitis externa; cervical vertebral instability; epilepsy; bleeding disorders; lymphoma,medium,low,TRUE,hound/basset,TRUE,TRUE,basset hound
beagle,small,18 - 30 lbs,"21"" - 25""",12 - 15 years,English Beagle,hound,England,"Companion Dog, Hunting","Dating back to the early 14th century, Celtic tribes used this breed for small game hunting.","The Beagle is gentle, lively and sociable.",Hypothyroidism; atopy; epilepsy; glaucoma; progressive retinal atrophy; bleeding disorders; pulmonic stenosis,high,low,TRUE,beagle,TRUE,TRUE,beagle
belgian malinois,medium,40 - 80 lbs,"22"" - 26""",10 - 12 years,Chien de Berger Belge,herding,Belgium,"Companion Dog, Guard Dog","Bred for herding and guarding livestock, the Malinois was originally recognized as the Belgian Shepherd in 1891. While rare in the U.S., this breed is still popular in its native Belgium.","The Belgian Malinois is a high energy, intelligent, playful, intense and protective breed.",Minor concerns with epilepsy; eye problems; hip dysplasia; excessive shyness,high,low,TRUE,malinois,FALSE,TRUE,belgian shepherd / malinois
